reviewerID,asin,overall
AP57WZ2X4G0AA,0000589012,2.0
A39VF226GBM1JH,0000589012,1.0
A23PSBNOBPLCOM,0000589012,5.0
A2GWNIH0RTOM67,0001517791,5.0
A2DZ09ET7S7ISG,0001526863,5.0
A3UORV8A9D5L2E,0005019281,3.0
A2S8D0QSJZ07DJ,0005019281,5.0
A12PD8MX7BQW45,0005019281,5.0
A1RZSB9J891SCK,0005019281,5.0
A9ET89HFL6H5V,0005019281,5.0
A5NYUBEKXFLX5,0005019281,5.0
A2WT7U5CFGZZZ4,0005019281,5.0
AG8D804FUG5Y4,0005019281,3.0
A1GHUN5HXMHZ89,0005019281,5.0
A37UOTDP2USAK8,0005019281,4.0
A1GQF4JDJXBRLH,0005019281,5.0
A3UEOL981G9TXY,0005019281,5.0
A2ZCGDI772NVQI,0005019281,5.0
A23AE7RQKN9ZPQ,0005019281,5.0
A13W8CA4PHWBDA,0005019281,5.0
A1PXS5N63PS6WR,0005019281,5.0
ASJN2D3N3VWFN,0005019281,5.0
A2KJ92GG58CZNR,0005019281,5.0
A24XT4V09ZONSF,0005019281,5.0
A2D4HRAA7E0FRQ,0005019281,5.0
A26OBZKMR6VK45,0005019281,4.0
A3KGAJ86I4T73J,0005019281,5.0
A258ONALWRQMV1,0005019281,5.0
AJCZMHX3H9Q9V,0005019281,5.0
A2FQODF76KU7VD,0005019281,5.0
AT82PUPRMA07B,0005019281,5.0
A1K34FVJ2AJI2W,0005019281,5.0
AG4FMYITPTATN,0005019281,1.0
A3B5N9IMLURIYA,0005019281,4.0
A197O2J5BA4AQ,0005019281,5.0
A1FMDF1NOYM3M7,0005019281,5.0
A2YRWE73IZYN0P,0005019281,4.0
A28L7RYP6FYGN9,0005019281,5.0
AYE6KHD4A9CJN,0005019281,4.0
A2602YF29FSZNR,0005019281,5.0
ATAGA4N9SMWWQ,0005019281,5.0
A1MUTGFKWD74U4,0005019281,5.0
A3T8RYH5HYNBNH,0005019281,4.0
ABF7QC42YCJ0F,0005019281,4.0
A2BEOF8YBRY010,0005019281,5.0
A2UNEJNV11TNQ9,0005019281,5.0
A3MFFZG662BT0P,0005019281,5.0
AK88QX7H7GHI7,0005019281,5.0
A1NSR193UO4F71,0005019281,4.0
A2KG7BD0O3UN5Q,0005019281,5.0
A21HYO0TUMZK72,0005019281,5.0
A3U1A2XQ6NBE33,0005019281,5.0
A15GTCK2TKSLFY,0005019281,4.0
A2R69PIUXPYCQW,0005019281,5.0
A312KM8IVZCEPA,0005019281,5.0
A18X2B15DJLZX0,0005019281,5.0
AQ5JDBXICB18J,0005019281,4.0
A1FP2LA6M2OJX0,0005019281,5.0
A3KB6YTB7LWA62,0005019281,5.0
A29TJUV9Z50DXB,0005019281,5.0
A1BBBIN5NMNPV7,0005019281,5.0
A16IIQA8V9IQS5,0005019281,4.0
A2ZPPV9EVM45UH,0005019281,3.0
A7FZV2SWXVNB4,0005019281,4.0
A36J3RGUT0XYK8,0005019281,5.0
A1GQIFHHSJVWO7,0005019281,5.0
AIMVNK843DDSK,0005019281,4.0
A1GKJ0UFVN4K7G,0005019281,5.0
A13V0P2YT13S9H,0005019281,5.0
A1BHEPVVAU7NPN,0005019281,5.0
A27NOR6IOINAKO,0005019281,4.0
A2NL42GF3KGW9,0005019281,5.0
A333MLCEBUG9LI,0005019281,5.0
A2EKIE8ATFNAWU,0005019281,5.0
A1UBEXXFF48UBT,0005019281,5.0
A1WDWBBJTJN3AO,0005019281,4.0
A2M1CU2IRZG0K9,000503860X,3.0
A16WO8T4YXGVWP,0005089549,5.0
A28KVB8JWTG8MS,0005092663,5.0
A20M1Y21WJSA0N,0005092663,5.0
A292NDEAXUNW62,0005097258,4.0
A1QNGKV688Q8TE,0005119367,5.0
A36311XF4O81IK,0005119367,5.0
AC5YC2096GERZ,0005119367,5.0
AL8Q982DJQ9P,0005119367,5.0
A3TUONF81AOTY7,0005119367,5.0
A2AR6U8CL0D4JH,0005119367,5.0
A100CQXJ6D44T9,0005119367,5.0
A12L2L5AQ8HU6Z,0005119367,5.0
AW93WS9MX5RE7,0005119367,5.0
A25V8W2UH7BG5W,0005119367,5.0
APNDFFJC4VG6A,0005119367,5.0
A2SEQFS9ONWO90,0005119367,5.0
AECFSXF4ZI12J,0005119367,5.0
A1KBQ7MG9AG58C,0005119367,5.0
A12PH6L5QSVTYN,0005119367,5.0
A2EWX6GU9XAL4F,0005119367,5.0
A2MEGP5NJF5GOW,0005119367,5.0
A1O7D6U9SO44XN,0005119367,5.0
A1I8PLHXCCP1AG,0005119367,5.0
A21W1YQVXFKS3V,0005119367,5.0
A2LUZGEV0JDAGN,0005119367,4.0
A12GE27YKZTNYA,0005119367,5.0
A385J7MEM932DL,0005119367,5.0
A1BQ0HTG3C53IH,0005119367,4.0
A2C67F0TPHMI7D,0005119367,5.0
AN2MIDJFT5GB,0005119367,5.0
AJP33GUIG4PN8,0005119367,1.0
A2TVHGKIF7MKVB,0005119367,5.0
A35Y93CKEONJ42,0005119367,4.0
A18YB1FYPWXEHQ,0005119367,5.0
A378I2QH68SDA6,0005119367,5.0
AN5BGXH80BF65,0005119367,5.0
A3OVZXEW1WF3YJ,0005119367,5.0
A2214VIWOIUMVD,0005119367,5.0
A28YRBK2MMMHOP,0005119367,4.0
A17Q3TKXPYP5HT,0005119367,5.0
A1LQZ9X9AR2UTR,0005119367,5.0
A2QFDX82LSD9AU,0005119367,5.0
A27GTBNUF8DUEF,0005119367,5.0
A3P5I9JKQTZZT6,0005119367,5.0
A1ZJJKOC38Q622,0005119367,5.0
AJI1WYQV21RD7,0005119367,5.0
A2CL7EKD6I7V1K,0005119367,5.0
A27JGSWCNHI63W,0005119367,5.0
A2P9RFHSSHMMCY,0005119367,5.0
A12GC85NZMRMI,0005119367,5.0
A3FDLN2AAOUOT,0005119367,5.0
A14U42QUWC9HBR,0005119367,5.0
A37A44LEGU3T45,0005119367,5.0
A2PAAM6ILGBAKM,0005119367,5.0
A3RYTYQPF0OZ48,0005119367,5.0
AYXLGCAR90PH8,0005253500,5.0
A169JXRGHIFPM0,0006588204,5.0
A3TNNL09TGRX09,0012175447,5.0
A2BOKO22EDKBNF,007312155X,5.0
A1I8JD0L3XY2XH,0073378208,3.0
A1BLG66QZM9REM,0073378208,4.0
A3IRSP6TAGHG3A,0073378208,5.0
AGV0RUQJHFW3S,0130473456,5.0
A2LP0LMF2VY5IW,0130861383,5.0
A2F1LBNVVPJ51K,0130861383,1.0
A1CJ1GKLV202TS,013091133X,5.0
A9Z950JGNI9LL,0133204162,5.0
A33Q0WEEUQ32TX,0205298958,5.0
AF9D2YR94N9XA,0307141136,5.0
A1Y4GYXJIBXCHA,0307141217,4.0
A2893D13AAWHK4,0307141225,5.0
A2SHXYECIJG73U,0307141225,5.0
A3EOXJC4682YG0,0307141985,5.0
A3I66IXERB9WS3,0307141985,5.0
A3KCVL8H2JMCWG,0307141985,5.0
A1YAQIF1T73OU1,0307141985,5.0
ABFW2X0CMQM24,0307142469,5.0
A2P7YXVXFCEARK,0307142469,5.0
A61GWP334KBZB,0307142469,5.0
A11KP5UH2CT949,0307142469,5.0
A2O90QH9ADABL4,0307142469,5.0
A2A54VLS6GNHZ6,0307142469,5.0
A3LRCCVRZAT9A1,0307142469,5.0
AEHZ0WTNKSL79,0307142469,5.0
A240QB45BSMDAN,0307142469,5.0
A173YVKVW3EUM,0307142469,5.0
A3M18RHU53F42V,0307142469,5.0
A25KKXUQQ0OLWB,0307142469,4.0
A1S2KPVL5LHC9Y,0307142469,5.0
A2KMAVVQ322EE5,0307142469,1.0
A1OB5NTW55VYHW,0307142469,5.0
A10G872Q0YU867,0307142469,5.0
A3GUWVZY1VR7PG,0307142469,5.0
A347MRCA48RV4J,0307142469,4.0
A3URMIVRQLZVMO,0307142477,2.0
A2CWEYXT5OICZL,0307142477,1.0
A3OWKT7JZV8NT9,0307142477,1.0
AS3BJ3X86WERQ,0307142477,1.0
A30LV1MEEGAZ96,0307142477,5.0
A23UCQFQ84N23C,0307142477,4.0
ANX3ZRZO1OPXQ,0307142485,5.0
A1H4VEKCLCPF22,0307142485,5.0
A2PSTN471R917E,0307142485,5.0
A1GNZ19FWDR0QU,0307142485,3.0
A50JHJ9MLSZAN,0307142485,5.0
A31718D8VOCDGY,0307142485,5.0
AJ8AQG2X9JJ2Y,0307142485,5.0
A1E8OGV9SO0E0P,0307142485,5.0
A3T17RESJE84DA,0307142485,5.0
A14JTAXK8OEVPD,0307142485,5.0
A3NT81EUVE8LTB,0307142485,5.0
A1JDNRTMVDAFTK,0307142485,5.0
A2PM0F738SC6T8,0307142485,5.0
A1GV8XC7RJ5HNE,0307142485,5.0
AVQBWQVXU5VR2,0307142485,5.0
A3NWB4PVIA5OFV,0307142485,5.0
ACE89I7YDRLK7,0307142485,4.0
A2V4DLZ82WHPBJ,0307142485,4.0
A3OAQJRE8Z62OZ,0307142485,1.0
A3O8TP2RRVHMZ,0307142485,5.0
AAKOH5C6JOKVW,0307142485,5.0
AZ0MUPV0DU1R9,0307142485,1.0
A2B1FQE2D9PQDF,0307142485,3.0
A1FZFJ3RUY518E,0307142485,5.0
A2MMLVFUJX6VNH,0307142493,5.0
A2SHK2Q0X0SOW2,0307142493,5.0
A11KP5UH2CT949,0307142493,5.0
AD5JI9UN98JPH,0307142493,5.0
AU9XHH0D4PG4J,0307142493,2.0
A2E3XQQZSA2VXK,0307142493,5.0
ANH1RA5MCKKTK,0307142493,5.0
A2Y83LOXK1URXH,0307142493,3.0
A2UBSGFCP2QFNV,0307142493,5.0
A23MX852UX54I9,0307142493,4.0
A212F5EUK3DSP3,0307142493,5.0
A2CY7B7WX513ZD,0307142493,5.0
AN28FUG6NBF0I,0307142493,5.0
A25KKXUQQ0OLWB,0307142493,3.0
A1HKOSWNI7DOO3,0307142493,5.0
A2T4N81T3WK3EW,0307142493,5.0
A28X3MA22WX302,0307142493,5.0
A1JN58PTDXXT63,0307142493,5.0
A1LL2RQF44RGAA,0307142493,5.0
A5BKK3S1NGM5O,0307142493,3.0
A2YP1HYB6Q0JEQ,0307142493,5.0
AFEN54UGJQOK9,0307142493,5.0
A18BDOCEYYVCJ8,030714318X,3.0
A2G1BMXBBZRPEP,0307143341,4.0
A2G7OQHFIDEVN7,030714335X,5.0
A2BMUB3WU952KQ,0307514161,5.0
AFTAWFCUC3RJZ,0307514161,5.0
A3FJMMA6SD39B2,0307514161,5.0
A2938H1CUSI660,0307514161,5.0
A2FTHCGH06O4Y5,0307514161,5.0
A35XUI9HGMAJEX,0307514161,5.0
AJ34DZU9MYMUE,0307514161,3.0
A3R1HGDEWWL3G8,0307514161,5.0
A2Q341G6GJDBAT,0307514161,5.0
A3POP3AO0D5GRV,0307514161,5.0
A1TNTDT3ODFYET,0307514161,5.0
A1FDW1SPYKB354,0307514161,5.0
A2LODHCM4K9GNJ,0307514161,5.0
A1ILO7DWH03JBN,0307514161,5.0
A1GZLASWROSZOJ,0307514161,1.0
A1XYHEBZVXGKX1,0307514161,5.0
A1CH837Q4WFV19,0307514161,1.0
A2SI9C9XZLU00M,0307514161,5.0
ACIBQ6BQ6AWEV,0307514161,4.0
ATZ1LTONGHOP6,0307514161,3.0
AM4UVNWCW9NJE,0307514161,4.0
A7IN5TL15SCU5,0307514161,5.0
A3I3GKEF86BAH0,0307514161,5.0
A1EZAYP76CHBQH,0307514161,5.0
AFXSD5556XEUG,0307514161,4.0
A2NWXXSG08JW2X,0307514161,5.0
A13ZAVU55QK5DW,0307514161,5.0
A3TBZFU0O75YCL,0307514161,5.0
ACZZ218RBBWI0,0307514161,5.0
ANR3ABC77ZL7R,0307514161,3.0
A1JFZY0BE5COMO,0307514161,5.0
A3CCD9A0252A51,0307514161,1.0
A3MNNQLTYZ267E,0307514161,5.0
AHYN0IRP5MB57,0307514161,5.0
A11SXJ2H7IC8J7,0307514161,1.0
A3JLTHBMHMM7SN,0307514161,5.0
A32NBA6TM7E7RP,0307514161,4.0
AXDE8R0NO0DR,0307514161,5.0
A2J094NHDQKLWG,0307514161,5.0
A18RQ2URRGIIEA,0307514161,5.0
A34KZYE51A0A19,0307514161,5.0
ADRXWCV5R922S,0307514161,3.0
A7VPE842HUJN1,0307514161,5.0
AQ9T7HRXIRSQS,0307514161,5.0
A1MQYT5YEY1VHA,0307514161,5.0
APNHJZNF4A8G,0307514161,5.0
AOXMYZGE43DE,0307514161,5.0
A1OBPHRXHZF8P6,0307514161,5.0
A1MWZCZGTE79DT,0307514161,5.0
ARUMS3REGZRRD,0307514161,5.0
A2QFTMAOQASIVM,0307514161,5.0
A3531OQEZO1P1E,0307514161,5.0
A2TOU0N8XE68W4,0307514161,5.0
