asin,1,2,3,4,5,6,7,8,9,10
0005019281,0005019281,0780625218,0780623746,0783225199,078062369X,0767836316,0783241569,0780627806,0783114893,0784011168
0005119367,0005119367,0790729385,0767849493,078322561X,0783240287,0767817710,0767824407,0767827929,0767003357,0784011540
0307142485,0307142485,0783241607,0307514161,0767826728,0783239408,0767817443,0767815963,0784012717,078324021X,0767802802
0307514161,0307514161,0790729628,0307142485,0780651359,0767821556,0783227388,0767817443,0767827813,078062369X,0780021967
0310263662,0310263662,0767809254,0783233078,0783226764,0767809270,0767812182,0767802551,0783229887,0767827007,0783235666
0310274281,0310274281,0767823729,0767802497,076781956X,078322365X,0784012148,0784011648,0767853946,0783234996,0783241917
0578046725,0578046725,0790729725,0780619412,0780022491,0780023420,078060718X,0780607287,0780608372,0780613880,0780614097
0615274641,0615274641,0783232063,0780021967,0783235690,0783241909,0783219458,0767809688,0767802551,0767802659,0783226039
0718000315,0718000315,0780618831,0784011540,0767827929,0780022343,0784018235,0783105533,0740318934,0783225962,0790701251
0738920525,0738920525,0767819462,0780627024,0783241569,0767002652,0788860704,0780621611,0780618556,0780023420,0780622383
0738920762,0738920762,0738920770,0783219105,0788859137,076783822X,0783226160,0780626478,0783226543,0780619412,0788828126
0738920770,0738920770,0738920762,0780622588,0767849493,0767811100,0783239408,078881172X,0788860704,079070546X,0788812408
0740318934,0740318934,0780656946,0767827678,0783221487,0784012822,0718000315,0790729644,0615274641,0310274281,0780618556
0764001035,0764001035,076780161X,0783222149,0783226551,0767817443,0784013470,0790729636,0780630858,0767802659,0764006770
0764005553,0764005553,0788809806,0780626702,0767802802,0767836286,0783235690,0767802683,0767851013,0783236352,0780623746
0764006770,0764006770,0767811070,0783227434,0782008348,0767849981,0783219172,0767827716,0788869973,0783234287,0780630874
0764007211,0764007211,0780623711,0780619552,0788816454,0783233515,0783232063,0767827813,0767826728,0783225814,079072880X
0767002652,0767002652,0783215126,0767827775,0788860704,0767020308,0767817443,0767087372,0783228015,0790728354,0783222823
0767003357,0767003357,0767851013,0784018235,0783233469,0782006809,0783227647,0767811097,0773343032,0790729717,0767020308
0767020308,0767020308,0782006809,0783233469,0767811097,0783227647,0783227426,0767851013,0767087372,0790729407,0767003357
0767023765,0767023765,0767814037,0780628799,0310263662,0767817443,0780621832,0782008380,0780622642,0783241909,0780627806
0767087372,0767087372,0767020308,0780630858,078060718X,0767002652,0780630874,0783222823,0783229887,0784012148,0780630904
0767726227,0767726227,0783233582,078886047X,0780626966,0767827716,0788828126,0783227507,0767833902,0767812778,0790729652
0767736680,0767736680,0767836316,0783228457,0780621964,0767833902,0780607287,0790729652,079070546X,0783114885,0783229356
